num,School,Semester,Course Quality,Instructor Quality,Communication Ability,Difficulty,Instructor Access,Readings Value,Ammount Learned,Work Required,RecommendedforMajors.mean,Recommendednonmajors.mean,StimulatesInterest.mean,ArticulatesGoals.mean,SkillEmphasis.mean,HomeworkValuable.mean,ExamsConsistent.mean,AbilitiesChallenged.mean,ClassPace.mean,OralSkills.mean,InstructorConcern.mean,InstructorRapport.mean,InstructorEffective.mean,InstructorAttitude.mean,GradeFairness.mean,NativeAbility.mean,NumberofStudents.mean
1,SAS,1,2.92548387096774,3.161642228739,3.00766746411483,2.47752392344498,3.21706744868035,2.79956011730205,2.84058612440191,2.46617790811339,3.2525,2.26864832535885,2.95891495601173,3.55855614973262,3.6072192513369,3.33791443850267,3.46165775401069,3.50732620320856,2.21791443850267,3.53860962566845,3.67283422459893,3.61914438502674,3.51417112299465,3.72331550802139,3.46786096256684,3.20603260869565,28.5112414467253
2,SAS,2,2.92044592030361,3.19685958254269,3.01344951923077,2.53453125,3.25672364672365,2.79022792022792,2.84936298076923,2.47849002849003,3.22507211538462,2.26602163461538,2.98144349477683,3.55714932126697,3.57909502262443,3.35117647058824,3.54470588235294,3.47126696832579,2.27656108597285,3.52714932126697,3.64782805429864,3.58850678733032,3.47027149321267,3.75389140271493,3.47239819004525,3.12577272727273,30.6337760910816
3,SAS,3,2.91462143559489,3.17609636184857,3.0269656019656,2.4877027027027,3.25012782694199,2.82441494591937,2.84042997542998,2.46185840707965,3.21936117936118,2.23058968058968,2.98152409046214,3.57142857142857,3.61428571428571,3.36142857142857,3.4876354679803,3.52960591133005,2.22832512315271,3.52630541871921,3.66522167487685,3.61743842364532,3.50374384236453,3.74305418719212,3.47068965517241,3.17816831683168,28.2920353982301
4,SAS,4,2.93973938223938,3.20640926640927,3.03349455864571,2.52488512696493,3.26907246376812,2.79525603864734,2.88061668681983,2.47993236714976,3.22042321644498,2.30136803874092,3.00139264990329,3.58942307692308,3.63153846153846,3.36634615384615,3.58158653846154,3.49004807692308,2.25259615384615,3.52975961538462,3.68778846153846,3.61408653846154,3.48038461538462,3.77663461538462,3.52475961538462,3.11875,30.8368725868726
5,SAS,5,2.91448484848485,3.18358585858586,3.05154626108999,2.48823827629911,3.25556565656566,2.81294949494949,2.8558174904943,2.44336363636364,3.23442332065906,2.26885931558935,2.9940404040404,3.53865671641791,3.568407960199,3.30223880597015,3.51960199004975,3.44437810945274,2.2134328358209,3.47686567164179,3.61462686567164,3.57865671641791,3.47587064676617,3.71487562189055,3.47915422885572,3.16845771144279,29.379797979798
6,SAS,6,2.94649173955296,3.21526724975705,3.00443196004994,2.56421972534332,3.26975704567541,2.82382178217822,2.88734096692112,2.49673469387755,3.23157760814249,2.24470737913486,2.98968901846453,3.55627192982456,3.5905701754386,3.31530701754386,3.54267543859649,3.47530701754386,2.27175438596491,3.47276315789474,3.64350877192982,3.5815350877193,3.45083333333333,3.75833333333333,3.49166666666667,3.09138392857143,30.6268221574344
7,SAS,7,2.946138996139,3.22371621621622,3.10159420289855,2.49196859903382,3.29443907156673,2.83646034816248,2.89711352657005,2.47923523717328,3.24025362318841,2.25985507246377,3.03642166344294,3.56800970873786,3.62432038834951,3.31131707317073,3.5223786407767,3.51087378640777,2.21446601941748,3.49864077669903,3.66495145631068,3.57378640776699,3.46009708737864,3.71402912621359,3.51660194174757,3.18985365853659,28.2555448408872
8,SAS,8,2.89887462981244,3.20785784797631,3.18315653298836,2.52351875808538,3.20705179282869,3.07482876712329,3.06540983606557,2.42690239043825,3.31950819672131,2.23683333333333,3.13238047808765,NA,NA,3.21917391304348,NA,3.39012987012987,2.21467532467532,NA,NA,NA,3.41393939393939,NA,NA,3.33329004329004,30.563672260612
9,SAS,9,2.87599798387097,3.18816532258065,3.19171679197995,2.47290726817043,3.22217258883249,3.10434426229508,2.99385964912281,2.44884263959391,3.24473684210526,2.41649122807018,3.1097461928934,NA,NA,3.23855614973262,NA,3.41524064171123,2.22433155080214,NA,NA,NA,3.46304812834225,NA,NA,3.36802139037433,28.3104838709677
10,SAS,10,2.89280632411067,3.19914031620553,3.15914680050188,2.48686472819216,3.22083992094862,3.03048327137546,2.82222222222222,2.43030815109344,3.13925925925926,2.24111111111111,3.11902173913043,NA,NA,3.23041860465116,NA,3.40060465116279,2.17106976744186,NA,NA,NA,3.4633023255814,NA,NA,3.33506976744186,30.251976284585
11,SAS,11,2.87740705433746,3.16966603053435,3.24488966318235,2.42684579439252,3.25917938931298,3.07668,3.10730158730159,2.43122722914669,3.28269841269841,2.40507936507937,3.15835877862595,NA,NA,3.24689839572193,NA,3.44770053475936,2.18823529411765,NA,NA,NA,3.48508021390374,NA,NA,3.35807486631016,27.3136320305052
12,SAS,12,2.85639126305793,3.16031339031339,3.18774969915764,2.45033939393939,3.25330484330484,3.03964788732394,3.03193548387097,2.41244508118434,3.17838709677419,2.25935483870968,3.14070275403609,NA,NA,3.20207207207207,NA,3.41806306306306,2.18126126126126,NA,NA,NA,3.48527027027027,NA,NA,3.35869369369369,29.3627730294397
13,SAS,13,2.8674328081557,3.15645968489342,3.22990011098779,2.42972067039106,3.2603985171455,3.10542168674699,3.09464788732394,2.4564678471575,3.20183098591549,2.32830985915493,3.14130676552363,NA,NA,3.2538202247191,NA,3.48657303370787,2.18505617977528,NA,NA,NA,3.4964606741573,NA,NA,3.43258426966292,26.8906394810009
14,Nursing,1,3.01731343283582,3.16380597014925,3.13701492537313,2.55597014925373,3.26537313432836,2.51485074626866,3.13097014925373,2.54410447761194,3.49686567164179,0.954328358208955,2.99768656716418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3805970149254
15,Nursing,2,2.884,3.08535483870968,3.04748387096774,2.43425806451613,3.19883870967742,2.49575163398693,3.01154838709677,2.60329032258065,3.29754838709677,0.908838709677419,2.91496774193548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8774193548387
16,Nursing,3,2.95292307692308,3.11130769230769,3.07869230769231,2.58630769230769,3.20338461538462,2.57669230769231,3.07984615384615,2.69046153846154,3.34869230769231,0.979923076923077,2.97607692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6153846153846
17,Nursing,4,2.95982558139535,3.13883720930233,3.12233918128655,2.48216374269006,3.25134502923977,2.60005847953216,3.07035087719298,2.67567251461988,3.33923976608187,0.995847953216374,3.01169590643275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8023255813953
18,Nursing,5,2.89910344827586,3.04689655172414,3.06689655172414,2.63751724137931,3.13344827586207,2.50296551724138,3.03124137931034,2.72486111111111,3.30193103448276,0.962344827586207,2.9731724137931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7465753424658
19,Nursing,6,2.93934131736527,3.15233532934132,3.13114457831325,2.45240963855422,3.2428313253012,2.49668674698795,3.03415662650602,2.64753012048193,3.33536144578313,1.03246987951807,3.0355421686747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.940119760479
20,Nursing,7,3.08614906832298,3.25122699386503,3.2498773006135,2.62760736196319,3.18865030674847,2.57226993865031,3.21490797546012,2.73374233128834,3.40742331288344,0.997423312883436,3.13533742331288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8588957055215
21,Nursing,8,2.99811428571429,3.22582857142857,3.2032183908046,2.52725714285714,3.18729885057471,2.5028,3.14891428571429,2.64902857142857,3.18040229885057,0.98051724137931,3.14701149425287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7085714285714
22,Nursing,9,2.87689189189189,3.17121621621622,3.10281818181818,2.57886363636364,3.05581818181818,2.40286363636364,3.12781818181818,2.69513636363636,3.24486363636364,0.852318181818182,3.01286363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3243243243243
23,Nursing,10,2.81797101449275,3.11380434782609,3.10428571428571,2.49576642335766,3.02200729927007,2.50172794117647,3.02386861313869,2.62839416058394,3.04116788321168,1.15538461538462,3.02529197080292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5905797101449
24,Nursing,11,2.96102112676056,3.14415492957746,3.13414893617021,2.46631205673759,3.02024822695035,2.51845878136201,3.15560283687943,2.54691489361702,3.24262411347518,1.05768683274021,3.07868794326241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9119718309859
25,Nursing,12,2.8580073800738,3.08580882352941,3.08787313432836,2.39501872659176,3.05078358208955,2.34402255639098,2.94569288389513,2.52958646616541,3.05496240601504,1.19988721804511,2.99738805970149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9080882352941
26,Nursing,13,3.05072961373391,3.24952789699571,3.22716738197425,2.54309012875536,3.13145922746781,2.60167381974249,3.24523605150215,2.65991416309013,3.32583690987124,1.09077253218884,3.13759656652361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6351931330472
27,SEAS,1,2.56415094339623,2.73584905660377,2.65209523809524,2.80114285714286,2.88552380952381,2.2352380952381,2.70980952380952,3.09695238095238,3.26066666666667,1.40914285714286,2.44914285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7830188679245
28,SEAS,2,2.44867346938776,2.63295918367347,2.53785714285714,2.71,2.74234693877551,2.20081632653061,2.60214285714286,2.90928571428571,3.13469387755102,1.38357142857143,2.35010204081633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6122448979592
