SAS,SEAS,Wharton,Nursing
3.161642229,2.735849057,2.805670498,3.16380597
3.196859583,2.632959184,2.834089069,3.085354839
3.176096362,2.736230769,2.831598513,3.111307692
3.206409266,2.751296296,2.849102041,3.138837209
3.183585859,2.757027027,2.908955224,3.046896552
3.21526725,2.713240741,2.948709677,3.152335329
3.223716216,2.822727273,2.938722628,3.251226994
3.207857848,2.771454545,2.943556485,3.225828571
3.188165323,2.733839286,2.991030534,3.171216216
3.199140316,2.68377193,2.92278481,3.113804348
3.169666031,2.664854369,2.905163636,3.14415493
3.16031339,2.646754386,2.942658228,3.085808824
3.156459685,2.782564103,2.902068966,3.249527897
