Arts & Letters,History & Traditions,Humanities,Living World,Natural Sciences & Mathematics,Physical World,Society
2.461923077,2.361904762,2.458888889,2.516,2.488,2.8024,2.225263158
2.455357143,2.531818182,2.339411765,2.655,2.276363636,2.801785714,2.522941176
2.509047619,2.230555556,2.655789474,2.632307692,2.37,2.81375,2.344285714
2.27,2.458214286,2.502380952,2.342666667,2.156666667,2.877692308,2.385294118
2.445,2.4516,2.5,2.551538462,2.23125,2.8552,2.314444444
2.241538462,2.438275862,2.535,2.547857143,2.001111111,2.748076923,2.3755
2.185925926,2.415238095,2.497368421,2.470769231,2.285,2.752,2.344210526
2.298333333,2.4824,2.396086957,2.376666667,2.31375,2.639655172,2.306818182
2.401875,2.423181818,2.473636364,2.410769231,2.296923077,2.7272,2.145238095
2.401428571,2.451428571,2.3175,2.505,2.424166667,2.708181818,2.350952381
2.322826087,2.251538462,2.557894737,2.439166667,2.333,2.7256,2.3185
2.306842105,2.5592,2.341818182,2.515454545,2.360769231,2.560666667,2.353636364
2.445681818,2.349230769,2.497222222,2.594,2.26,2.662758621,2.3525
