Semester,Sector,Course Quality,Instructor Quality,Difficulty,Work Required
1,Arts & Letters,2.782307692,3.048846154,2.221538462,2.461923077
1,History & Traditions,2.68952381,2.954761905,2.27952381,2.361904762
1,Humanities,2.748333333,2.965555556,2.168888889,2.458888889
1,Living World,2.602,2.812,2.728,2.516
1,Natural Sciences & Mathematics,2.132,2.459,2.53,2.488
1,Physical World,2.3212,2.564,3.0608,2.8024
1,Society,2.577368421,2.821052632,2.263157895,2.225263158
2,Arts & Letters,2.759285714,2.959285714,2.302857143,2.455357143
2,History & Traditions,2.865,3.083636364,2.361363636,2.531818182
2,Humanities,2.841764706,3.042941176,2.164705882,2.339411765
2,Living World,2.682142857,2.916428571,2.927142857,2.655
2,Natural Sciences & Mathematics,2.476363636,2.880909091,2.441818182,2.276363636
2,Physical World,2.438214286,2.768571429,3.032142857,2.801785714
2,Society,2.537647059,2.638823529,2.542352941,2.522941176
3,Arts & Letters,2.786666667,3.012380952,2.203809524,2.509047619
3,History & Traditions,2.685555556,2.956666667,2.103333333,2.230555556
3,Humanities,2.814736842,3.113684211,2.468947368,2.655789474
3,Living World,2.629230769,2.77,2.941538462,2.632307692
3,Natural Sciences & Mathematics,2.304285714,2.615714286,2.4,2.37
3,Physical World,2.384583333,2.711666667,3.100833333,2.81375
3,Society,2.424761905,2.56,2.357619048,2.344285714
4,Arts & Letters,2.8625,3.154583333,2.07375,2.27
4,History & Traditions,2.722142857,3.022857143,2.347857143,2.458214286
4,Humanities,2.874285714,3.086666667,2.343809524,2.502380952
4,Living World,2.732,2.991333333,2.569333333,2.342666667
4,Natural Sciences & Mathematics,2.498888889,2.865555556,2.293333333,2.156666667
4,Physical World,2.459615385,2.759615385,3.088461538,2.877692308
4,Society,2.674117647,2.860588235,2.397058824,2.385294118
5,Arts & Letters,2.880357143,3.116785714,2.260357143,2.445
5,History & Traditions,2.802,3.0508,2.318,2.4516
5,Humanities,2.757777778,3.019444444,2.328888889,2.5
5,Living World,2.643846154,2.76,2.767692308,2.551538462
5,Natural Sciences & Mathematics,2.11375,2.36,2.415,2.23125
5,Physical World,2.3964,2.7548,3.1288,2.8552
5,Society,2.600555556,2.842777778,2.358333333,2.314444444
6,Arts & Letters,2.815384615,3.056923077,2.058076923,2.241538462
6,History & Traditions,2.890689655,3.159655172,2.31,2.438275862
6,Humanities,2.852727273,3.139545455,2.357272727,2.535
6,Living World,2.342142857,2.577142857,3.057857143,2.547857143
6,Natural Sciences & Mathematics,2.504444444,2.867777778,2.121111111,2.001111111
6,Physical World,2.407692308,2.651923077,3.050384615,2.748076923
6,Society,2.8065,3.0255,2.388,2.3755
7,Arts & Letters,2.77962963,2.967777778,2.151481481,2.185925926
7,History & Traditions,2.775238095,2.99952381,2.26,2.415238095
7,Humanities,2.883157895,3.156315789,2.301052632,2.497368421
7,Living World,2.778461538,2.794615385,2.798461538,2.470769231
7,Natural Sciences & Mathematics,2.03625,2.425,2.34125,2.285
7,Physical World,2.3532,2.6396,3.0296,2.752
7,Society,2.503157895,2.644210526,2.351052632,2.344210526
8,Arts & Letters,2.83,3.086111111,2.219444444,2.298333333
8,History & Traditions,2.9132,3.1784,2.4108,2.4824
8,Humanities,2.846521739,3.17173913,2.205217391,2.396086957
8,Living World,2.7075,2.9375,2.740833333,2.376666667
8,Natural Sciences & Mathematics,2.3875,2.77625,2.285,2.31375
8,Physical World,2.413793103,2.73862069,3.022068966,2.639655172
8,Society,2.688636364,2.933636364,2.368181818,2.306818182
9,Arts & Letters,2.8703125,3.113125,2.1453125,2.401875
9,History & Traditions,2.742272727,2.967272727,2.281363636,2.423181818
9,Humanities,2.8,3.016363636,2.32,2.473636364
9,Living World,2.804615385,2.925384615,2.806923077,2.410769231
9,Natural Sciences & Mathematics,2.291538462,2.605384615,2.489230769,2.296923077
9,Physical World,2.3372,2.6588,3.0844,2.7272
9,Society,2.640952381,2.888571429,2.29,2.145238095
10,Arts & Letters,3.000285714,3.249142857,2.186857143,2.401428571
10,History & Traditions,2.7725,3.006785714,2.329285714,2.451428571
10,Humanities,2.8955,3.1705,2.1635,2.3175
10,Living World,2.586,2.879,2.943,2.505
10,Natural Sciences & Mathematics,2.464166667,2.743333333,2.409166667,2.424166667
10,Physical World,2.433939394,2.787878788,3.007272727,2.708181818
10,Society,2.686666667,2.871428571,2.386190476,2.350952381
11,Arts & Letters,2.788913043,3.022826087,2.206304348,2.322826087
11,History & Traditions,2.569230769,2.774230769,2.260769231,2.251538462
11,Humanities,2.851052632,3.152631579,2.456315789,2.557894737
11,Living World,2.854166667,2.985,2.678333333,2.439166667
11,Natural Sciences & Mathematics,1.998,2.168,2.45,2.333
11,Physical World,2.3688,2.7268,3.0296,2.7256
11,Society,2.3755,2.5765,2.3665,2.3185
12,Arts & Letters,2.788421053,3.11,2.122894737,2.306842105
12,History & Traditions,2.8572,3.0944,2.4032,2.5592
12,Humanities,2.797727273,2.968181818,2.186363636,2.341818182
12,Living World,2.591818182,2.919090909,2.905454545,2.515454545
12,Natural Sciences & Mathematics,2.336153846,2.652307692,2.497692308,2.360769231
12,Physical World,2.467666667,2.770666667,2.893666667,2.560666667
12,Society,2.662272727,2.865909091,2.358636364,2.353636364
13,Arts & Letters,2.775909091,3.029318182,2.278409091,2.445681818
13,History & Traditions,2.835769231,3.076538462,2.248846154,2.349230769
13,Humanities,2.888333333,3.153888889,2.329444444,2.497222222
13,Living World,2.664,2.795,2.989,2.594
13,Natural Sciences & Mathematics,2.383846154,2.775384615,2.260769231,2.26
13,Physical World,2.331724138,2.534482759,2.94862069,2.662758621
13,Society,2.358333333,2.520833333,2.383333333,2.3525
