Arts & Letters,History & Traditions,Humanities,Living World,Natural Sciences & Mathematics,Physical World,Society
3.048846154,2.954761905,2.965555556,2.812,2.459,2.564,2.821052632
2.959285714,3.083636364,3.042941176,2.916428571,2.880909091,2.768571429,2.638823529
3.012380952,2.956666667,3.113684211,2.77,2.615714286,2.711666667,2.56
3.154583333,3.022857143,3.086666667,2.991333333,2.865555556,2.759615385,2.860588235
3.116785714,3.0508,3.019444444,2.76,2.36,2.7548,2.842777778
3.056923077,3.159655172,3.139545455,2.577142857,2.867777778,2.651923077,3.0255
2.967777778,2.99952381,3.156315789,2.794615385,2.425,2.6396,2.644210526
3.086111111,3.1784,3.17173913,2.9375,2.77625,2.73862069,2.933636364
3.113125,2.967272727,3.016363636,2.925384615,2.605384615,2.6588,2.888571429
3.249142857,3.006785714,3.1705,2.879,2.743333333,2.787878788,2.871428571
3.022826087,2.774230769,3.152631579,2.985,2.168,2.7268,2.5765
3.11,3.0944,2.968181818,2.919090909,2.652307692,2.770666667,2.865909091
3.029318182,3.076538462,3.153888889,2.795,2.775384615,2.534482759,2.520833333
