school,Department,CourseQuality,Difficulty,AmmtLearned,InstQuality
SAS,TURK,3.921666667,0,0,3.948333333
SAS,YDSH,3.683333333,0,0,3.776666667
SAS,PRTG,3.574404762,2.065555556,3.334666667,3.734761905
SAS,CHIN,3.435602679,2.633636364,3.250909091,3.643013393
SAS,JPAN,3.428134328,0,0,3.56641791
SAS,HEBR,3.412649007,1.764210526,3.052857143,3.602516556
SAS,WH,3.395641026,2.354358974,3.409230769,3.396410256
SAS,GREK,3.394857143,3.042857143,3.417,3.590857143
SAS,SKRT,3.389166667,0,0,3.485
SAS,PERS,3.363333333,0,0,3.4225
Wharton,BFMD,3.334615385,1.254615385,0,3.510769231
Wharton,LSMP,3.300952381,3.114285714,3.50952381,3.294761905
SEAS,NGG,3.2875,2.750833333,0,3.385
SAS,KORN,3.286,0,0,3.483111111
SAS,GRMN,3.246712963,2.307857143,3.011764706,3.518055556
SAS,RUSS,3.234590164,2.209166667,3.000555556,3.407650273
SAS,URDU,3.207058824,0,0,3.271764706
SAS,CAMB,3.197368421,2.819210526,3.156666667,3.306578947
SAS,ENGL,3.197256637,2.325378564,3.077354015,3.401789577
SAS,FNAR,3.179593596,2.460529557,3.16028536,3.340061728
SAS,LATN,3.17147541,2.726315789,0,3.451639344
SAS,THAR,3.12027027,1.945891892,2.998265306,3.245081081
SAS,FREN,3.113615257,2.291437126,2.950638298,3.392222222
SAS,JWST,3.112123894,2.2256,2.957586207,3.320442478
SAS,ITAL,3.106285714,2.004142857,2.741621622,3.392238095
SAS,CINE,3.093570058,2.124587332,2.966867089,3.288134615
SAS,LGST,3.090765864,2.255514223,3.095382932,3.263435449
SAS,MUSC,3.082320675,1.968333333,2.971818182,3.269957806
SAS,SPAN,3.077454891,2.380576923,2.872454545,3.410550807
SAS,CLST,3.06224359,2.396923077,2.994651163,3.365384615
SAS,ASAM,3.059220779,2.153376623,2.97625,3.277012987
SAS,CPLN,3.052857143,2.415,0,3.242142857
Wharton,OPIM,3.045248619,2.416933702,3.087666667,3.205745856
SAS,ANCH,3.041428571,2.430816327,3.01862069,3.315714286
SAS,ARAB,3.039316239,2.256923077,0,3.291452991
SEAS,EALC,3.0375,2.380309735,2.971653543,3.28108871
SAS,GSWS,3.037414966,2.330204082,2.987272727,3.226598639
SAS,GAFL,3.0225,2.1605,3.182142857,3.162
SAS,HIST,3.020702576,2.497283372,3.033526971,3.269297424
SAS,GSOC,2.998043478,2.302391304,2.935217391,3.221630435
SAS,COML,2.993403361,2.246911765,2.931068376,3.23197479
SAS,SAST,2.987947368,2.051052632,2.894950495,3.202263158
SAS,RELS,2.969778761,2.260619469,2.989173554,3.212522124
SAS,ARTH,2.964109091,2.486363636,2.903375796,3.203672727
SAS,HIND,2.9625,2.22,0,3.247777778
SAS,LALS,2.9524,2.31045,2.937964602,3.20785
SAS,AFRC,2.951169725,2.229633028,2.873519313,3.160091743
SAS,NELC,2.93517134,2.258,2.907735849,3.17953271
Nursing,NURS,2.929762002,2.498455852,3.085893224,3.141583915
SAS,PSCI,2.925860349,2.628852868,2.945708155,3.131945137
SAS,HCMG,2.918522727,2.575909091,3.021818182,3.041704545
SAS,COLL,2.916,2.18825,2.781304348,3.131875
Wharton,STSC,2.905875706,2.337909605,2.810319149,3.203220339
SAS,HSOC,2.902272727,2.241428571,2.902363636,3.151818182
SAS,BIBB,2.899491525,2.674011299,3.010449438,3.085706215
SEAS,VIPR,2.899166667,2.226666667,0,3.351666667
SAS,PSYC,2.889276139,2.469032258,2.964977578,3.113163539
SAS,EDUC,2.889,2.23,0,2.932
SAS,COMM,2.887822581,2.38733871,2.87539823,3.136612903
SAS,INTR,2.885578947,2.968526316,3.188679245,3.257157895
SAS,VLST,2.876958525,2.588663594,3.065329341,3.104470046
SAS,REAL,2.876846847,2.895495495,2.974684685,2.938378378
SAS,SLAV,2.87,1.740714286,0,3.061428571
SAS,AFST,2.830843373,2.051636364,2.757113402,3.068614458
SAS,PHIL,2.802897527,2.630070671,2.923289474,3.069823322
SAS,ARCH,2.782782609,3.07573913,2.968956522,2.925043478
SAS,PPE,2.769768786,2.487861272,2.864271845,2.973236994
SEAS,MEAM,2.762703863,2.774935622,2.875236052,2.901030043
SAS,IPD,2.752105263,1.804736842,2.558947368,3.012631579
SAS,AAMW,2.748928571,2.613928571,2.660714286,3.046785714
SAS,URBS,2.748653367,2.281770574,2.772597403,3.044264339
SAS,BIOL,2.747274549,2.925450902,2.894503546,2.897875752
SEAS,NETS,2.745454545,2.348181818,2.858181818,3.038181818
Wharton,MGMT,2.722503962,2.264041204,2.695863708,3.050301109
Wharton,MKTG,2.720165138,2.319045872,2.67533945,2.960348624
SAS,CRIM,2.72,2.23890625,2.865151515,2.9965625
SAS,ENVS,2.717625899,2.258561151,2.688550725,3.00942446
SAS,ANTH,2.709402985,2.166044776,2.707168142,2.931741294
Wharton,FNCE,2.706142322,2.979737828,2.883726592,2.812191011
SEAS,CIS,2.699259259,2.771,2.954222222,2.840592593
SAS,BCHE,2.697272727,2.470909091,3.005833333,2.809545455
SAS,COGS,2.69,2.238333333,2.69,3.0025
SAS,PHYS,2.689861111,3.071215278,2.833445946,2.970451389
SAS,INTG,2.670757576,2.939,0,3.087424242
SAS,LING,2.64384106,2.304304636,2.694125,2.927880795
SAS,FOLK,2.632421053,1.930842105,2.477575758,2.914842105
SAS,SOCI,2.62570122,2.139085366,2.667831325,2.845335366
SAS,INSR,2.624444444,2.696388889,2.715,2.842222222
SEAS,EAS,2.603731343,2.088880597,2.60119403,2.867313433
SAS,LGIC,2.576666667,3.037083333,2.694615385,2.832083333
SAS,GEOL,2.572183908,2.330114943,2.634081633,2.930689655
SEAS,MSE,2.561367521,2.906752137,2.744444444,2.835982906
SAS,ASTR,2.543492063,2.715079365,2.620625,2.998412698
SEAS,ENGR,2.5385,2.3865,2.6835,2.6975
Wharton,ECON,2.504751958,2.83464752,2.656008969,2.676971279
SEAS,CBE,2.489677419,2.866209677,2.750403226,2.749516129
SEAS,BE,2.456024096,2.726104418,2.647871486,2.676546185
Wharton,BEPP,2.452777778,2.664691358,2.596975309,2.760617284
Wharton,STAT,2.435314286,2.833314286,2.638885714,2.603771429
Wharton,ACCT,2.399757085,2.682348178,2.536174089,2.656214575
SAS,GCB,2.395,3.1455,0,2.5955
SAS,WRIT,2.330336984,2.524245998,2.450797448,3.094229149
SAS,BPUB,2.317031963,2.707534247,2.43109589,2.571187215
SAS,CHEM,2.300765027,3.199098361,2.61984127,2.570819672
SEAS,ESE,2.24680597,2.679074627,2.475074627,2.453014925
SAS,MATH,2.218788546,2.940132159,2.518032787,2.444449339
SEAS,ENM,2.035882353,2.921764706,2.235294118,2.347058824
