SAS,SEAS,Wharton,Nursing
2.840586124,2.709809524,2.64302682,3.130970149
2.849362981,2.602142857,2.65854251,3.011548387
2.840429975,2.727674419,2.68394052,3.079846154
2.880616687,2.703018868,2.685183673,3.070350877
2.85581749,2.749189189,2.731977612,3.031241379
2.887340967,2.682222222,2.818951613,3.034156627
2.897113527,2.836,2.797773723,3.214907975
3.065409836,2.720818182,2.780460251,3.148914286
2.993859649,2.764954128,2.865610687,3.127818182
2.822222222,2.737027027,2.80649789,3.023868613
3.107301587,2.68,2.785527273,3.155602837
3.031935484,2.686875,2.76978903,2.945692884
3.094647887,2.781304348,2.723103448,3.245236052
