SAS,SEAS,Wharton,Nursing
2.925483871,2.564150943,2.592183908,3.017313433
2.92044592,2.448673469,2.602064777,2.884
2.914621436,2.530153846,2.615836431,2.952923077
2.939739382,2.577037037,2.631387755,2.959825581
2.914484848,2.552702703,2.671343284,2.899103448
2.94649174,2.544954128,2.741532258,2.939341317
2.946138996,2.622,2.739160584,3.086149068
2.89887463,2.572363636,2.714644351,2.998114286
2.875997984,2.528839286,2.738549618,2.876891892
2.892806324,2.54745614,2.702911392,2.817971014
2.877407054,2.412330097,2.683163636,2.961021127
2.856391263,2.447699115,2.699578059,2.85800738
2.867432808,2.54974359,2.654367816,3.050729614
