SAS,SEAS,Wharton,Nursing
2.477523923,2.801142857,2.604252874,2.555970149
2.53453125,2.71,2.564615385,2.434258065
2.487702703,2.756046512,2.610334572,2.586307692
2.524885127,2.699622642,2.585346939,2.482163743
2.488238276,2.73045045,2.642537313,2.637517241
2.564219725,2.702314815,2.583024194,2.452409639
2.491968599,2.730090909,2.525583942,2.627607362
2.523518758,2.602090909,2.549707113,2.527257143
2.472907268,2.760357143,2.586832061,2.578863636
2.486864728,2.658947368,2.557552743,2.495766423
2.426845794,2.711747573,2.548981818,2.466312057
2.450339394,2.737894737,2.48721519,2.395018727
2.42972067,2.67957265,2.482222222,2.543090129
