SAS,SEAS,Wharton,Nursing
2.466177908,3.096952381,2.529923372,2.544104478
2.478490028,2.909285714,2.5148583,2.603290323
2.461858407,3.050852713,2.471486989,2.690461538
2.479932367,2.873773585,2.512571429,2.675672515
2.443363636,2.942972973,2.51011194,2.724861111
2.496734694,2.888240741,2.499032258,2.64753012
2.479235237,2.835454545,2.375291971,2.733742331
2.42690239,2.674,2.43874477,2.649028571
2.44884264,2.871517857,2.379580153,2.695136364
2.430308151,2.692807018,2.388607595,2.628394161
2.431227229,2.791456311,2.355454545,2.546914894
2.412445081,2.780614035,2.354936709,2.529586466
2.456467847,2.730512821,2.289042146,2.659914163
