Arts & Letters,History & Traditions,Humanities,Living World,Natural Sciences & Mathematics,Physical World,Society
2.782307692,2.68952381,2.748333333,2.602,2.132,2.3212,2.577368421
2.759285714,2.865,2.841764706,2.682142857,2.476363636,2.438214286,2.537647059
2.786666667,2.685555556,2.814736842,2.629230769,2.304285714,2.384583333,2.424761905
2.8625,2.722142857,2.874285714,2.732,2.498888889,2.459615385,2.674117647
2.880357143,2.802,2.757777778,2.643846154,2.11375,2.3964,2.600555556
2.815384615,2.890689655,2.852727273,2.342142857,2.504444444,2.407692308,2.8065
2.77962963,2.775238095,2.883157895,2.778461538,2.03625,2.3532,2.503157895
2.83,2.9132,2.846521739,2.7075,2.3875,2.413793103,2.688636364
2.8703125,2.742272727,2.8,2.804615385,2.291538462,2.3372,2.640952381
3.000285714,2.7725,2.8955,2.586,2.464166667,2.433939394,2.686666667
2.788913043,2.569230769,2.851052632,2.854166667,1.998,2.3688,2.3755
2.788421053,2.8572,2.797727273,2.591818182,2.336153846,2.467666667,2.662272727
2.775909091,2.835769231,2.888333333,2.664,2.383846154,2.331724138,2.358333333
