Arts & Letters,History & Traditions,Humanities,Living World,Natural Sciences & Mathematics,Physical World,Society
2.221538462,2.27952381,2.168888889,2.728,2.53,3.0608,2.263157895
2.302857143,2.361363636,2.164705882,2.927142857,2.441818182,3.032142857,2.542352941
2.203809524,2.103333333,2.468947368,2.941538462,2.4,3.100833333,2.357619048
2.07375,2.347857143,2.343809524,2.569333333,2.293333333,3.088461538,2.397058824
2.260357143,2.318,2.328888889,2.767692308,2.415,3.1288,2.358333333
2.058076923,2.31,2.357272727,3.057857143,2.121111111,3.050384615,2.388
2.151481481,2.26,2.301052632,2.798461538,2.34125,3.0296,2.351052632
2.219444444,2.4108,2.205217391,2.740833333,2.285,3.022068966,2.368181818
2.1453125,2.281363636,2.32,2.806923077,2.489230769,3.0844,2.29
2.186857143,2.329285714,2.1635,2.943,2.409166667,3.007272727,2.386190476
2.206304348,2.260769231,2.456315789,2.678333333,2.45,3.0296,2.3665
2.122894737,2.4032,2.186363636,2.905454545,2.497692308,2.893666667,2.358636364
2.278409091,2.248846154,2.329444444,2.989,2.260769231,2.94862069,2.383333333
