"Amy Gutmann","The soul of the eighth President of the University of Pennsylvania, a <a href='https://www.thedp.com/blog/under-the-button/2017/03/amy-gutmann-weird-video-op-ed-found' target='_blank'>disembodied spirit imagined</a>, usually as a vague, shadowy or evanescent form, as wandering among campus during her free time."
"Ben Franklin","Founder of Penn. Slaveholder. <a href='https://www.thedp.com/blog/under-the-button/2017/03/benjamin-franklin-daylight-saving-time-petition-protest' target='_blank'>Scientist</a>. Womanizer. We’re pretty sure he’s a good swimmer. He’s dead now."
"Ben on the Bench","We’re not sure people pee on it as much as the legends say, but you can’t help but smile when you see a family huddle around the bench for a picture."
"BioPond","Turtles, weed, and maybe some sort of science happens here. We’re pretty sure it’s <a href='https://www.thedp.com/blog/under-the-button/2017/01/girl-scouts-bio-pond' target='_blank'>mostly just weed</a>, though."
"Bursar","The most socially acceptable way to be an asshole to your parents."
"Canada Goose","(Branta canadensis maxima) <a href='https://www.thedp.com/blog/under-the-button/2017/03/canada-goose-ipo-parents-have-to-own-shares' target='_blank'>Species of wild goose</a> native to the arctic regions of North America. Can be identified by its black head and neck, brown body with white patches, and always-clean Stan Smiths."
"Consulting","You’re not sure what it is, but <a href='https://www.thedp.com/blog/under-the-button/2017/02/junior-returns-to-unfulfilling-internship' target='_blank'>you really want to &ldquo;go into&rdquo; it</a> when you graduate."
"DFMO","Dance Floor Make Out. You hate seeing people do it until you do it, without realizing that you’re as obnoxious about it as everyone else. We get it, you have a mouth."
"DRL","Die, Reincarnate, Leave."
"Franzia","“Delicate pink hue with strawberry flavors, <a href='https://www.34st.com/article/2017/02/franzia-horoscopes' target='_blank'>easy to drink</a> and very refreshing. Perfect with lighter foods. Serve chilled.”"
"Frontera","Sceney and cheesy."
"High Rise Wind Tunnel","High Rise Wind Tunnel (unofficially referred to as Hurricane Sandy (unofficially referred to as &ldquo;Superstorm Sandy&rdquo;) was the deadliest and most destructive hurricane of the 2012 Atlantic hurricane season, and the second-costliest hurricane in United States history."
"Hoodie Allen","Penn’s <a href='https://www.thedp.com/blog/under-the-button/2016/12/hoodie-allen-petition' target='_blank'>worst musical act</a>."
"Huntsman","The <a href='https://www.thedp.com/blog/under-the-button/2017/03/huntsman-russian-gsrs' target='_blank'>best place on campus</a> to catch a glimpse of the enormous size of Penn’s endowment."
